dataset,plotID,series,subplot,scale,type,metric,value
1,UA16NW,UA16,NW,10,alpha,div,33
1,UA16NW,UA16,NW,10,alpha,ENSPIE,6.452472514266725
1,UA16NW,UA16,NW,10,alpha,cover,96.17
1,UA16SE,UA16,SE,10,alpha,div,37
1,UA16SE,UA16,SE,10,alpha,ENSPIE,4.6297223548058835
1,UA16SE,UA16,SE,10,alpha,cover,71.7
1,UA17NW,UA17,NW,10,alpha,div,43
1,UA17NW,UA17,NW,10,alpha,ENSPIE,6.249484216040719
1,UA17NW,UA17,NW,10,alpha,cover,98.3
1,UA17SE,UA17,SE,10,alpha,div,56
1,UA17SE,UA17,SE,10,alpha,ENSPIE,11.303366331191077
1,UA17SE,UA17,SE,10,alpha,cover,132.05
1,UA18NW,UA18,NW,10,alpha,div,37
1,UA18NW,UA18,NW,10,alpha,ENSPIE,9.493359719606115
1,UA18NW,UA18,NW,10,alpha,cover,63.1
1,UA18SE,UA18,SE,10,alpha,div,43
1,UA18SE,UA18,SE,10,alpha,ENSPIE,5.7321579105354274
1,UA18SE,UA18,SE,10,alpha,cover,105.45
1,UA19NW,UA19,NW,10,alpha,div,32
1,UA19NW,UA19,NW,10,alpha,ENSPIE,9.259495480710653
1,UA19NW,UA19,NW,10,alpha,cover,86.3
1,UA19SE,UA19,SE,10,alpha,div,27
1,UA19SE,UA19,SE,10,alpha,ENSPIE,7.151452197645524
1,UA19SE,UA19,SE,10,alpha,cover,41.9
1,UA20NW,UA20,NW,10,alpha,div,38
1,UA20NW,UA20,NW,10,alpha,ENSPIE,4.620868338783566
1,UA20NW,UA20,NW,10,alpha,cover,144.31
1,UA20SE,UA20,SE,10,alpha,div,47
1,UA20SE,UA20,SE,10,alpha,ENSPIE,4.851501095558088
1,UA20SE,UA20,SE,10,alpha,cover,123.45
1,UA21NW,UA21,NW,10,alpha,div,43
1,UA21NW,UA21,NW,10,alpha,ENSPIE,18.39137320803963
1,UA21NW,UA21,NW,10,alpha,cover,178.31
1,UA21SE,UA21,SE,10,alpha,div,36
1,UA21SE,UA21,SE,10,alpha,ENSPIE,7.559952905852436
1,UA21SE,UA21,SE,10,alpha,cover,139.6
2,UA_MJ_01NW,UA_MJ_01,NW,10,alpha,div,65
2,UA_MJ_01NW,UA_MJ_01,NW,10,alpha,ENSPIE,15.384139400484516
2,UA_MJ_01NW,UA_MJ_01,NW,10,alpha,cover,145.2
2,UA_MJ_01SE,UA_MJ_01,SE,10,alpha,div,51
2,UA_MJ_01SE,UA_MJ_01,SE,10,alpha,ENSPIE,10.383587132154924
2,UA_MJ_01SE,UA_MJ_01,SE,10,alpha,cover,112.8
2,UA_MJ_02NW,UA_MJ_02,NW,10,alpha,div,52
2,UA_MJ_02NW,UA_MJ_02,NW,10,alpha,ENSPIE,8.889198494246251
2,UA_MJ_02NW,UA_MJ_02,NW,10,alpha,cover,115.2
2,UA_MJ_02SE,UA_MJ_02,SE,10,alpha,div,43
2,UA_MJ_02SE,UA_MJ_02,SE,10,alpha,ENSPIE,8.590831410503542
2,UA_MJ_02SE,UA_MJ_02,SE,10,alpha,cover,172.8
2,UA_MJ_03NW,UA_MJ_03,NW,10,alpha,div,65
2,UA_MJ_03NW,UA_MJ_03,NW,10,alpha,ENSPIE,22.083811754401
2,UA_MJ_03NW,UA_MJ_03,NW,10,alpha,cover,152.3
2,UA_MJ_03SE,UA_MJ_03,SE,10,alpha,div,65
2,UA_MJ_03SE,UA_MJ_03,SE,10,alpha,ENSPIE,16.13434086868174
2,UA_MJ_03SE,UA_MJ_03,SE,10,alpha,cover,159.4
2,UA_MJ_04NW,UA_MJ_04,NW,10,alpha,div,87
2,UA_MJ_04NW,UA_MJ_04,NW,10,alpha,ENSPIE,29.18655864584204
2,UA_MJ_04NW,UA_MJ_04,NW,10,alpha,cover,144.8
2,UA_MJ_04SE,UA_MJ_04,SE,10,alpha,div,72
2,UA_MJ_04SE,UA_MJ_04,SE,10,alpha,ENSPIE,18.872672370407646
2,UA_MJ_04SE,UA_MJ_04,SE,10,alpha,cover,150
2,UA_MJ_05NW,UA_MJ_05,NW,10,alpha,div,84
2,UA_MJ_05NW,UA_MJ_05,NW,10,alpha,ENSPIE,24.071995764955005
2,UA_MJ_05NW,UA_MJ_05,NW,10,alpha,cover,162.4
2,UA_MJ_05SE,UA_MJ_05,SE,10,alpha,div,68
2,UA_MJ_05SE,UA_MJ_05,SE,10,alpha,ENSPIE,17.63535530674341
2,UA_MJ_05SE,UA_MJ_05,SE,10,alpha,cover,153.4
3,UA_Cr_01NW,UA_Cr_01,NW,10,alpha,div,11
3,UA_Cr_01NW,UA_Cr_01,NW,10,alpha,ENSPIE,2.839385967813817
3,UA_Cr_01NW,UA_Cr_01,NW,10,alpha,cover,8.602
3,UA_Cr_01SE,UA_Cr_01,SE,10,alpha,div,12
3,UA_Cr_01SE,UA_Cr_01,SE,10,alpha,ENSPIE,4.223316477108378
3,UA_Cr_01SE,UA_Cr_01,SE,10,alpha,cover,7.122
3,UA_Cr_02NW,UA_Cr_02,NW,10,alpha,div,24
3,UA_Cr_02NW,UA_Cr_02,NW,10,alpha,ENSPIE,2.262900240632848
3,UA_Cr_02NW,UA_Cr_02,NW,10,alpha,cover,15.818
3,UA_Cr_02SE,UA_Cr_02,SE,10,alpha,div,9
3,UA_Cr_02SE,UA_Cr_02,SE,10,alpha,ENSPIE,4.7037836054339754
3,UA_Cr_02SE,UA_Cr_02,SE,10,alpha,cover,8.61
3,UA_Cr_03NW,UA_Cr_03,NW,10,alpha,div,41
3,UA_Cr_03NW,UA_Cr_03,NW,10,alpha,ENSPIE,5.9314126763770485
3,UA_Cr_03NW,UA_Cr_03,NW,10,alpha,cover,67.244
3,UA_Cr_03SE,UA_Cr_03,SE,10,alpha,div,34
3,UA_Cr_03SE,UA_Cr_03,SE,10,alpha,ENSPIE,4.192166815998117
3,UA_Cr_03SE,UA_Cr_03,SE,10,alpha,cover,43.45
3,UA_Cr_04NW,UA_Cr_04,NW,10,alpha,div,23
3,UA_Cr_04NW,UA_Cr_04,NW,10,alpha,ENSPIE,5.720705795263645
3,UA_Cr_04NW,UA_Cr_04,NW,10,alpha,cover,31.121
3,UA_Cr_04SE,UA_Cr_04,SE,10,alpha,div,27
3,UA_Cr_04SE,UA_Cr_04,SE,10,alpha,ENSPIE,2.8989317295171984
3,UA_Cr_04SE,UA_Cr_04,SE,10,alpha,cover,71.171
3,UA_Cr_05NW,UA_Cr_05,NW,10,alpha,div,10
3,UA_Cr_05NW,UA_Cr_05,NW,10,alpha,ENSPIE,1.5147144983837784
3,UA_Cr_05NW,UA_Cr_05,NW,10,alpha,cover,12.403
3,UA_Cr_05SE,UA_Cr_05,SE,10,alpha,div,13
3,UA_Cr_05SE,UA_Cr_05,SE,10,alpha,ENSPIE,1.575960586815172
3,UA_Cr_05SE,UA_Cr_05,SE,10,alpha,cover,38.231
3,UA_Cr_06NW,UA_Cr_06,NW,10,alpha,div,13
3,UA_Cr_06NW,UA_Cr_06,NW,10,alpha,ENSPIE,3.946488790008273
3,UA_Cr_06NW,UA_Cr_06,NW,10,alpha,cover,47.011
3,UA_Cr_06SE,UA_Cr_06,SE,10,alpha,div,19
3,UA_Cr_06SE,UA_Cr_06,SE,10,alpha,ENSPIE,4.3355091679318205
3,UA_Cr_06SE,UA_Cr_06,SE,10,alpha,cover,72.661
3,UA_Cr_07NW,UA_Cr_07,NW,10,alpha,div,34
3,UA_Cr_07NW,UA_Cr_07,NW,10,alpha,ENSPIE,3.8293172451513686
3,UA_Cr_07NW,UA_Cr_07,NW,10,alpha,cover,51.051
3,UA_Cr_07SE,UA_Cr_07,SE,10,alpha,div,39
3,UA_Cr_07SE,UA_Cr_07,SE,10,alpha,ENSPIE,4.254317597487819
3,UA_Cr_07SE,UA_Cr_07,SE,10,alpha,cover,61.17
3,UA_Cr_08NW,UA_Cr_08,NW,10,alpha,div,35
3,UA_Cr_08NW,UA_Cr_08,NW,10,alpha,ENSPIE,6.86346256686844
3,UA_Cr_08NW,UA_Cr_08,NW,10,alpha,cover,71.21
3,UA_Cr_08SE,UA_Cr_08,SE,10,alpha,div,30
3,UA_Cr_08SE,UA_Cr_08,SE,10,alpha,ENSPIE,4.960400974108709
3,UA_Cr_08SE,UA_Cr_08,SE,10,alpha,cover,62.701
4,SB20033NE,SB20033,NE,10,alpha,div,35
4,SB20033NE,SB20033,NE,10,alpha,ENSPIE,7.574102130328216
4,SB20033NE,SB20033,NE,10,alpha,cover,63.374
4,SB20033SW,SB20033,SW,10,alpha,div,31
4,SB20033SW,SB20033,SW,10,alpha,ENSPIE,9.675323449604216
4,SB20033SW,SB20033,SW,10,alpha,cover,56.761
4,SB20060NE,SB20060,NE,10,alpha,div,19
4,SB20060NE,SB20060,NE,10,alpha,ENSPIE,4.629115372937213
4,SB20060NE,SB20060,NE,10,alpha,cover,36.942
4,SB20060SW,SB20060,SW,10,alpha,div,20
4,SB20060SW,SB20060,SW,10,alpha,ENSPIE,4.347818113305949
4,SB20060SW,SB20060,SW,10,alpha,cover,34.84
4,SB20061NW,SB20061,NW,10,alpha,div,33
4,SB20061NW,SB20061,NW,10,alpha,ENSPIE,8.074587564494363
4,SB20061NW,SB20061,NW,10,alpha,cover,104.973
4,SB20061SE,SB20061,SE,10,alpha,div,36
4,SB20061SE,SB20061,SE,10,alpha,ENSPIE,4.91133047052631
4,SB20061SE,SB20061,SE,10,alpha,cover,89.86
4,SB20062NW,SB20062,NW,10,alpha,div,44
4,SB20062NW,SB20062,NW,10,alpha,ENSPIE,5.035063501705906
4,SB20062NW,SB20062,NW,10,alpha,cover,61.205
4,SB20062SE,SB20062,SE,10,alpha,div,40
4,SB20062SE,SB20062,SE,10,alpha,ENSPIE,4.000654353628136
4,SB20062SE,SB20062,SE,10,alpha,cover,47.703
4,SB20063NW,SB20063,NW,10,alpha,div,35
4,SB20063NW,SB20063,NW,10,alpha,ENSPIE,3.821006979594455
4,SB20063NW,SB20063,NW,10,alpha,cover,85.66
4,SB20063SE,SB20063,SE,10,alpha,div,32
4,SB20063SE,SB20063,SE,10,alpha,ENSPIE,5.342434851612473
4,SB20063SE,SB20063,SE,10,alpha,cover,89.83
4,SB20077NW,SB20077,NW,10,alpha,div,34
4,SB20077NW,SB20077,NW,10,alpha,ENSPIE,5.373602589904346
4,SB20077NW,SB20077,NW,10,alpha,cover,90.61
4,SB20077SE,SB20077,SE,10,alpha,div,28
4,SB20077SE,SB20077,SE,10,alpha,ENSPIE,1.8208050330895156
4,SB20077SE,SB20077,SE,10,alpha,cover,81.8
4,SB20078NW,SB20078,NW,10,alpha,div,28
4,SB20078NW,SB20078,NW,10,alpha,ENSPIE,7.352267717265115
4,SB20078NW,SB20078,NW,10,alpha,cover,93.531
4,SB20078SE,SB20078,SE,10,alpha,div,33
4,SB20078SE,SB20078,SE,10,alpha,ENSPIE,6.104027501009278
4,SB20078SE,SB20078,SE,10,alpha,cover,84.762
4,SB20079NW,SB20079,NW,10,alpha,div,19
4,SB20079NW,SB20079,NW,10,alpha,ENSPIE,3.0554744530784
4,SB20079NW,SB20079,NW,10,alpha,cover,40.441
4,SB20079SE,SB20079,SE,10,alpha,div,21
4,SB20079SE,SB20079,SE,10,alpha,ENSPIE,7.412213525586451
4,SB20079SE,SB20079,SE,10,alpha,cover,65.752
4,SB20081NW,SB20081,NW,10,alpha,div,37
4,SB20081NW,SB20081,NW,10,alpha,ENSPIE,2.9909873699684386
4,SB20081NW,SB20081,NW,10,alpha,cover,91.817
4,SB20081SE,SB20081,SE,10,alpha,div,40
4,SB20081SE,SB20081,SE,10,alpha,ENSPIE,3.707687418759016
4,SB20081SE,SB20081,SE,10,alpha,cover,71.501
4,SB20083NW,SB20083,NW,10,alpha,div,39
4,SB20083NW,SB20083,NW,10,alpha,ENSPIE,4.112531981305473
4,SB20083NW,SB20083,NW,10,alpha,cover,78.471
4,SB20083SE,SB20083,SE,10,alpha,div,32
4,SB20083SE,SB20083,SE,10,alpha,ENSPIE,3.267398203954404
4,SB20083SE,SB20083,SE,10,alpha,cover,82.824
4,SB20084NW,SB20084,NW,10,alpha,div,38
4,SB20084NW,SB20084,NW,10,alpha,ENSPIE,2.2145806576277094
4,SB20084NW,SB20084,NW,10,alpha,cover,91.857
4,SB20084SE,SB20084,SE,10,alpha,div,28
4,SB20084SE,SB20084,SE,10,alpha,ENSPIE,2.8448112917714456
4,SB20084SE,SB20084,SE,10,alpha,cover,74.252
4,SB20100NW,SB20100,NW,10,alpha,div,40
4,SB20100NW,SB20100,NW,10,alpha,ENSPIE,11.020801645705696
4,SB20100NW,SB20100,NW,10,alpha,cover,95.633
4,SB20100SE,SB20100,SE,10,alpha,div,36
4,SB20100SE,SB20100,SE,10,alpha,ENSPIE,3.5437964377301068
4,SB20100SE,SB20100,SE,10,alpha,cover,65.026
4,SB20101NE,SB20101,NE,10,alpha,div,63
4,SB20101NE,SB20101,NE,10,alpha,ENSPIE,10.132538421267762
4,SB20101NE,SB20101,NE,10,alpha,cover,123.864
4,SB20101SW,SB20101,SW,10,alpha,div,55
4,SB20101SW,SB20101,SW,10,alpha,ENSPIE,12.850903240772402
4,SB20101SW,SB20101,SW,10,alpha,cover,152.611
4,SB20102NW,SB20102,NW,10,alpha,div,45
4,SB20102NW,SB20102,NW,10,alpha,ENSPIE,5.27627524211423
4,SB20102NW,SB20102,NW,10,alpha,cover,115.622
4,SB20102SE,SB20102,SE,10,alpha,div,38
4,SB20102SE,SB20102,SE,10,alpha,ENSPIE,6.37771880528671
4,SB20102SE,SB20102,SE,10,alpha,cover,100.74
4,SB20103NW,SB20103,NW,10,alpha,div,38
4,SB20103NW,SB20103,NW,10,alpha,ENSPIE,2.4124898609622702
4,SB20103NW,SB20103,NW,10,alpha,cover,86.83
4,SB20103SE,SB20103,SE,10,alpha,div,42
4,SB20103SE,SB20103,SE,10,alpha,ENSPIE,2.294758957412416
4,SB20103SE,SB20103,SE,10,alpha,cover,85.27
4,SB20104NW,SB20104,NW,10,alpha,div,44
4,SB20104NW,SB20104,NW,10,alpha,ENSPIE,8.89540822190592
4,SB20104NW,SB20104,NW,10,alpha,cover,96.17
4,SB20104SE,SB20104,SE,10,alpha,div,50
4,SB20104SE,SB20104,SE,10,alpha,ENSPIE,10.754039068479146
4,SB20104SE,SB20104,SE,10,alpha,cover,118.762
4,SB20150NW,SB20150,NW,10,alpha,div,17
4,SB20150NW,SB20150,NW,10,alpha,ENSPIE,6.224585563723642
4,SB20150NW,SB20150,NW,10,alpha,cover,27.41
4,SB20150SE,SB20150,SE,10,alpha,div,16
4,SB20150SE,SB20150,SE,10,alpha,ENSPIE,5.997204263498165
4,SB20150SE,SB20150,SE,10,alpha,cover,26.2
4,SB20160NW,SB20160,NW,10,alpha,div,29
4,SB20160NW,SB20160,NW,10,alpha,ENSPIE,4.8634305367397905
4,SB20160NW,SB20160,NW,10,alpha,cover,32.541
4,SB20160SE,SB20160,SE,10,alpha,div,34
4,SB20160SE,SB20160,SE,10,alpha,ENSPIE,4.4401546193774335
4,SB20160SE,SB20160,SE,10,alpha,cover,34.44
4,SB20169NE,SB20169,NE,10,alpha,div,39
4,SB20169NE,SB20169,NE,10,alpha,ENSPIE,6.039283630879573
4,SB20169NE,SB20169,NE,10,alpha,cover,58.05
4,SB20169SW,SB20169,SW,10,alpha,div,41
4,SB20169SW,SB20169,SW,10,alpha,ENSPIE,12.456194567545024
4,SB20169SW,SB20169,SW,10,alpha,cover,73.471
5,SB18008NW,SB18008,NW,10,alpha,div,41
5,SB18008NW,SB18008,NW,10,alpha,ENSPIE,6.169901960424762
5,SB18008NW,SB18008,NW,10,alpha,cover,74.51
5,SB18008SE,SB18008,SE,10,alpha,div,43
5,SB18008SE,SB18008,SE,10,alpha,ENSPIE,6.716777987098247
5,SB18008SE,SB18008,SE,10,alpha,cover,76.7
5,SB18019NW,SB18019,NW,10,alpha,div,40
5,SB18019NW,SB18019,NW,10,alpha,ENSPIE,8.460388598378996
5,SB18019NW,SB18019,NW,10,alpha,cover,80.232
5,SB18019SE,SB18019,SE,10,alpha,div,30
5,SB18019SE,SB18019,SE,10,alpha,ENSPIE,4.888583973372392
5,SB18019SE,SB18019,SE,10,alpha,cover,82.803
5,SB18024NW,SB18024,NW,10,alpha,div,49
5,SB18024NW,SB18024,NW,10,alpha,ENSPIE,7.789119015465859
5,SB18024NW,SB18024,NW,10,alpha,cover,73.611
5,SB18024SE,SB18024,SE,10,alpha,div,37
5,SB18024SE,SB18024,SE,10,alpha,ENSPIE,8.726643453022398
5,SB18024SE,SB18024,SE,10,alpha,cover,82.821
5,SB18025NE,SB18025,NE,10,alpha,div,37
5,SB18025NE,SB18025,NE,10,alpha,ENSPIE,5.778859188113536
5,SB18025NE,SB18025,NE,10,alpha,cover,65.351
5,SB18025SW,SB18025,SW,10,alpha,div,43
5,SB18025SW,SB18025,SW,10,alpha,ENSPIE,5.898987402156328
5,SB18025SW,SB18025,SW,10,alpha,cover,74.762
5,SB18029NW,SB18029,NW,10,alpha,div,36
5,SB18029NW,SB18029,NW,10,alpha,ENSPIE,7.5182712154839635
5,SB18029NW,SB18029,NW,10,alpha,cover,111.32
5,SB18029SE,SB18029,SE,10,alpha,div,44
5,SB18029SE,SB18029,SE,10,alpha,ENSPIE,8.044198187519743
5,SB18029SE,SB18029,SE,10,alpha,cover,118.471
5,SB20086NE,SB20086,NE,10,alpha,div,39
5,SB20086NE,SB20086,NE,10,alpha,ENSPIE,4.937988158728963
5,SB20086NE,SB20086,NE,10,alpha,cover,83.43
5,SB20086SW,SB20086,SW,10,alpha,div,39
5,SB20086SW,SB20086,SW,10,alpha,ENSPIE,5.3846642380094005
5,SB20086SW,SB20086,SW,10,alpha,cover,76.22
5,SB20112N,SB20112,N,10,alpha,div,49
5,SB20112N,SB20112,N,10,alpha,ENSPIE,6.243592780039501
5,SB20112N,SB20112,N,10,alpha,cover,175.753
5,SB20112S,SB20112,S,10,alpha,div,51
5,SB20112S,SB20112,S,10,alpha,ENSPIE,5.22340310383287
5,SB20112S,SB20112,S,10,alpha,cover,155.8
5,SB20113NW,SB20113,NW,10,alpha,div,55
5,SB20113NW,SB20113,NW,10,alpha,ENSPIE,10.447440141451414
5,SB20113NW,SB20113,NW,10,alpha,cover,147.711
5,SB20113SE,SB20113,SE,10,alpha,div,61
5,SB20113SE,SB20113,SE,10,alpha,ENSPIE,10.909960013923987
5,SB20113SE,SB20113,SE,10,alpha,cover,129.133
5,SB20120NW,SB20120,NW,10,alpha,div,45
5,SB20120NW,SB20120,NW,10,alpha,ENSPIE,12.949888813734493
5,SB20120NW,SB20120,NW,10,alpha,cover,146.022
5,SB20120SE,SB20120,SE,10,alpha,div,44
5,SB20120SE,SB20120,SE,10,alpha,ENSPIE,7.9032949580998935
5,SB20120SE,SB20120,SE,10,alpha,cover,139.711
5,SB20121NW,SB20121,NW,10,alpha,div,43
5,SB20121NW,SB20121,NW,10,alpha,ENSPIE,7.110426882350686
5,SB20121NW,SB20121,NW,10,alpha,cover,170.551
5,SB20121SE,SB20121,SE,10,alpha,div,46
5,SB20121SE,SB20121,SE,10,alpha,ENSPIE,3.4217218438669232
5,SB20121SE,SB20121,SE,10,alpha,cover,155.611
5,SB20122NW,SB20122,NW,10,alpha,div,64
5,SB20122NW,SB20122,NW,10,alpha,ENSPIE,6.515611223369558
5,SB20122NW,SB20122,NW,10,alpha,cover,168.671
5,SB20122SE,SB20122,SE,10,alpha,div,59
5,SB20122SE,SB20122,SE,10,alpha,ENSPIE,8.71556285534132
5,SB20122SE,SB20122,SE,10,alpha,cover,144.92
5,SB20129NW,SB20129,NW,10,alpha,div,29
5,SB20129NW,SB20129,NW,10,alpha,ENSPIE,2.123649450472741
5,SB20129NW,SB20129,NW,10,alpha,cover,74
5,SB20129SE,SB20129,SE,10,alpha,div,29
5,SB20129SE,SB20129,SE,10,alpha,ENSPIE,1.8681031199000369
5,SB20129SE,SB20129,SE,10,alpha,cover,75.61
5,SB20130NW,SB20130,NW,10,alpha,div,36
5,SB20130NW,SB20130,NW,10,alpha,ENSPIE,4.836215067625272
5,SB20130NW,SB20130,NW,10,alpha,cover,131.703
5,SB20130SE,SB20130,SE,10,alpha,div,30
5,SB20130SE,SB20130,SE,10,alpha,ENSPIE,2.920601724561582
5,SB20130SE,SB20130,SE,10,alpha,cover,142.762
5,SB20136NW,SB20136,NW,10,alpha,div,38
5,SB20136NW,SB20136,NW,10,alpha,ENSPIE,7.856876503260155
5,SB20136NW,SB20136,NW,10,alpha,cover,133.285
5,SB20136SE,SB20136,SE,10,alpha,div,45
5,SB20136SE,SB20136,SE,10,alpha,ENSPIE,12.652610102490003
5,SB20136SE,SB20136,SE,10,alpha,cover,146.836
5,SB20139NE,SB20139,NE,10,alpha,div,31
5,SB20139NE,SB20139,NE,10,alpha,ENSPIE,6.389294432799042
5,SB20139NE,SB20139,NE,10,alpha,cover,106.123
5,SB20139SW,SB20139,SW,10,alpha,div,36
5,SB20139SW,SB20139,SW,10,alpha,ENSPIE,7.390531927313446
5,SB20139SW,SB20139,SW,10,alpha,cover,101.233
6,UAS01NW,UAS01,NW,10,alpha,div,28
6,UAS01NW,UAS01,NW,10,alpha,ENSPIE,5.597723974567731
6,UAS01NW,UAS01,NW,10,alpha,cover,196.61
6,UAS01SE,UAS01,SE,10,alpha,div,38
6,UAS01SE,UAS01,SE,10,alpha,ENSPIE,3.010368840903429
6,UAS01SE,UAS01,SE,10,alpha,cover,127.27
6,UAS02NW,UAS02,NW,10,alpha,div,47
6,UAS02NW,UAS02,NW,10,alpha,ENSPIE,9.587029662906126
6,UAS02NW,UAS02,NW,10,alpha,cover,75.445
6,UAS02SE,UAS02,SE,10,alpha,div,55
6,UAS02SE,UAS02,SE,10,alpha,ENSPIE,8.187807736445684
6,UAS02SE,UAS02,SE,10,alpha,cover,89.397
6,UAS03NW,UAS03,NW,10,alpha,div,17
6,UAS03NW,UAS03,NW,10,alpha,ENSPIE,2.200614400104056
6,UAS03NW,UAS03,NW,10,alpha,cover,106.121
6,UAS03SE,UAS03,SE,10,alpha,div,24
6,UAS03SE,UAS03,SE,10,alpha,ENSPIE,3.7965965436513023
6,UAS03SE,UAS03,SE,10,alpha,cover,146.351
6,UAS04NW,UAS04,NW,10,alpha,div,49
6,UAS04NW,UAS04,NW,10,alpha,ENSPIE,7.666821812488289
